ID,Title,Vote Average,Date,Original Language,Genre IDs,IsMovie
1029575,The Family Plan,7.4,2023-12-14,en,"[28, 35]",True
848326,Rebel Moon - Part One: A Child of Fire,6.5,2023-12-15,en,[878],True
695721,The Hunger Games: The Ballad of Songbirds & Snakes,7.2,2023-11-15,en,"[18, 878, 28]",True
891699,Silent Night,5.9,2023-11-30,en,"[28, 80]",True
572802,Aquaman and the Lost Kingdom,6.5,2023-12-20,en,"[28, 12, 14]",True
1071215,Thanksgiving,6.7,2023-11-16,en,"[27, 9648, 53]",True
1131755,A Creature Was Stirring,5.3,2023-12-08,en,[27],True
507089,Five Nights at Freddy's,7.8,2023-10-25,en,"[27, 9648]",True
1143183,Rewind,7.3,2023-12-25,tl,"[18, 10749]",True
787699,Wonka,7.1,2023-12-06,en,"[35, 10751, 14]",True
844416,Rumble Through the Dark,6.6,2023-11-03,en,"[53, 28]",True
897087,Freelance,6.5,2023-10-05,en,"[28, 35]",True
1035982,Hell House LLC Origins: The Carmichael Manor,6.3,2023-10-24,en,"[27, 9648]",True
299054,Expend4bles,6.4,2023-09-15,en,"[28, 12, 53]",True
670292,The Creator,7.2,2023-09-27,en,"[28, 12, 878]",True
872585,Oppenheimer,8.1,2023-07-19,en,"[18, 36]",True
807172,The Exorcist: Believer,6.2,2023-10-04,en,[27],True
901362,Trolls Band Together,7.2,2023-10-12,en,"[16, 10751, 10402, 14, 35]",True
1075794,Leo,7.5,2023-11-17,en,"[16, 35, 10751]",True
975902,Boudica,5.9,2023-10-26,en,"[28, 10752]",True
906126,Society of the Snow,8.1,2023-12-13,es,"[18, 36]",True
1034062,Mortal Kombat Legends: Cage Match,7,2023-10-17,en,"[16, 28, 14]",True
1189927,The Duel,7.8,2023-10-12,es,"[28, 35, 80]",True
853387,Lord of Misrule,5.8,2023-10-26,en,[27],True
1053592,All the Names of God,6.9,2023-09-15,es,"[18, 28, 53]",True
502356,The Super Mario Bros. Movie,7.7,2023-04-05,en,"[16, 10751, 12, 14, 35]",True
520758,Chicken Run: Dawn of the Nugget,7.3,2023-12-08,en,"[16, 12, 35, 10751]",True
517929,Fog City,4.2,2023-10-20,en,"[27, 53]",True
1151534,Nowhere,7.5,2023-09-29,es,"[53, 18]",True
385687,Fast X,7.2,2023-05-17,en,"[28, 80, 53]",True
940721,Godzilla Minus One,8,2023-11-03,ja,"[878, 27, 28]",True
603692,John Wick: Chapter 4,7.8,2023-03-22,en,"[28, 53, 80]",True
939335,Muzzle,6.6,2023-09-29,en,"[28, 80, 18, 53]",True
667538,Transformers: Rise of the Beasts,7.4,2023-06-06,en,"[28, 12, 878]",True
1008042,Talk to Me,7.2,2023-07-26,en,"[27, 53]",True
940551,Migration,7.3,2023-12-06,en,"[16, 28, 12, 35, 10751]",True
926393,The Equalizer 3,7.4,2023-08-30,en,"[28, 53, 80]",True
945937,Fast Charlie,6.2,2023-12-08,en,"[28, 80, 18]",True
937249,57 Seconds,5.9,2023-09-29,en,"[53, 878, 28]",True
466420,Killers of the Flower Moon,7.5,2023-10-18,en,"[80, 18, 36]",True
930564,Saltburn,7.2,2023-11-16,en,"[18, 35, 53]",True
615656,Meg 2: The Trench,6.7,2023-08-02,en,"[28, 878, 27]",True
1178734,Knuckle Girl,6.7,2023-10-25,ja,"[28, 18]",True
346698,Barbie,7.2,2023-07-19,en,"[35, 12, 14]",True
976573,Elemental,7.7,2023-06-14,en,"[16, 35, 10751, 14, 10749]",True
569094,Spider-Man: Across the Spider-Verse,8.4,2023-05-31,en,"[16, 28, 12, 878]",True
1010581,My Fault,8.1,2023-06-08,es,"[18, 10749]",True
961268,Ballerina,7,2023-10-05,ko,"[28, 53]",True
678512,Sound of Freedom,8.1,2023-07-03,en,"[28, 18]",True
951491,Saw X,7.4,2023-09-26,en,"[27, 53, 9648]",True
298618,The Flash,6.8,2023-06-13,en,"[28, 12, 878]",True
762430,Retribution,6.9,2023-08-23,en,"[28, 53, 80]",True
76600,Avatar: The Way of Water,7.6,2022-12-14,en,"[878, 12, 28]",True
968051,The Nun II,6.9,2023-09-06,en,"[27, 9648, 53]",True
1022796,Wish,6.4,2023-11-13,en,"[16, 10751, 14, 12]",True
1161048,The Conference,5.3,2023-10-13,sv,"[27, 35, 53]",True
870358,Merry Little Batman,6.7,2023-12-08,en,"[16, 28, 10751, 35]",True
726209,Leave the World Behind,6.5,2023-11-22,en,"[18, 9648, 53, 878]",True
575264,Mission: Impossible - Dead Reckoning Part One,7.6,2023-07-08,en,"[28, 53]",True
635910,The Last Voyage of the Demeter,7.1,2023-08-09,en,"[53, 27]",True
353491,The Dark Tower,5.7,2017-08-03,en,"[14, 28, 878]",True
980489,Gran Turismo,8,2023-08-09,en,"[12, 28, 18]",True
315162,Puss in Boots: The Last Wish,8.3,2022-12-07,en,"[12, 14, 16, 35, 10751, 28]",True
609681,The Marvels,6.4,2023-11-08,en,"[878, 12, 28]",True
1157049,Jigen Daisuke,7.2,2023-10-12,ja,"[28, 80, 18]",True
893723,PAW Patrol: The Mighty Movie,7,2023-09-21,en,"[16, 10751, 28, 878, 35, 18, 12]",True
565770,Blue Beetle,6.9,2023-08-16,en,"[28, 878, 12]",True
335977,Indiana Jones and the Dial of Destiny,6.6,2023-06-28,en,"[12, 28]",True
297802,Aquaman,6.9,2018-12-07,en,"[28, 12, 14]",True
899445,Deep Fear,4.9,2023-10-18,en,"[28, 9648, 53, 27]",True
1046032,The Bad Guys: A Very Bad Holiday,6.7,2023-11-30,en,"[16, 35, 10751, 28]",True
634649,Spider-Man: No Way Home,8,2021-12-15,en,"[28, 12, 878]",True
1186957,The Velveteen Rabbit,7.3,2023-11-21,en,"[16, 10751, 14]",True
1075175,How to Have Sex,6.5,2023-11-02,en,[18],True
820609,No One Will Save You,6.8,2023-09-22,en,"[27, 878, 53]",True
1060090,The Collective,5.8,2023-08-04,en,"[28, 53]",True
843380,Dead for a Dollar,5.7,2022-09-30,en,"[37, 53, 28]",True
968868,Pretty Guardian Sailor Moon Cosmos The Movie Part 1,8.7,2023-06-09,ja,[16],True
798141,Doors,5,2021-03-23,en,[878],True
872906,Jawan,7.2,2023-09-07,hi,"[28, 12, 53]",True
818511,Overhaul,6.7,2023-09-27,pt,"[28, 53, 18]",True
958263,Believer 2,7.1,2023-10-05,ko,"[80, 28, 53]",True
753342,Napoleon,6.4,2023-11-22,en,"[18, 36, 10752]",True
842675,The Wandering Earth II,7.3,2023-01-22,zh,"[878, 28, 18]",True
447365,Guardians of the Galaxy Vol. 3,8,2023-05-03,en,"[878, 12, 28]",True
820525,After Everything,7,2023-09-13,en,"[10749, 18]",True
1123093,Diary of a Wimpy Kid Christmas: Cabin Fever,7,2023-12-08,en,"[16, 35, 10751]",True
436270,Black Adam,7,2022-10-19,en,"[28, 12, 878]",True
447277,The Little Mermaid,6.4,2023-05-18,en,"[12, 10751, 14, 10749]",True
1076364,Carl's Date,7.5,2023-06-15,en,"[16, 12, 10751]",True
724209,Heart of Stone,6.9,2023-08-09,en,"[53, 28]",True
504148,The Serpent,5.1,2021-01-28,en,[28],True
1072790,Anyone But You,7.3,2023-12-21,en,"[35, 10749]",True
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,2023-07-31,en,"[16, 35, 28, 878]",True
