ID	Title	Vote Average	Date	Original Language	Genre IDs	IsMovie
201834	ted	8.1	2024-01-11	en	[35]	False
122226	Echo	6.3	2024-01-09	en	[18, 80, 10759]	False
133813	Death and Other Details	7.7	2024-01-16	en	[9648, 18, 80]	False
94954	Hazbin Hotel	8.9	2024-01-18	en	[35, 16, 10765]	False
241002	Adam's Sweet Agony	2.5	2024-01-08	ja	[16]	False
197848	The Unwanted Undead Adventurer	8	2024-01-08	ja	[16, 9648, 10759, 10765]	False
209332	Boy Swallows Universe	7.6	2024-01-11	en	[18, 80, 9648]	False
226905	BUCCHIGIRI?!	10	2024-01-13	ja	[16, 10759, 35, 10765]	False
215072	A Shop for Killers	9.8	2024-01-17	ko	[18, 10759, 9648, 80]	False
217522	Detective Forst	6.3	2024-01-11	pl	[80, 18, 9648]	False
222930	Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord	8	2024-01-09	ja	[16, 10765]	False
242073	Kübra	7.1	2024-01-18	tr	[18]	False
212553	The Bequeathed	7.7	2024-01-19	ko	[18, 9648, 80]	False
228477	Zorro	8.1	2024-01-25	es	[10759, 18]	False
242845	American Nightmare	7.4	2024-01-17	en	[99]	False
222767	LTNS	5	2024-01-19	ko	[35, 18]	False
213181	Hokkaido Gals Are Super Adorable!	3.7	2024-01-09	ja	[16, 35]	False
243093	Scout Hero	10	2024-01-09	zh	[18, 10768]	False
242396	End of the Line	5.5	2024-01-17	pt	[35]	False
241021	Isekai Onsen Paradise	7	2024-01-12	ja	[16, 10765]	False
234995	Sengoku Youko	8	2024-01-11	ja	[16, 10759, 10765, 18]	False
204490	Criminal Record	7.3	2024-01-10	en	[80, 18]	False
240439	Our Interpreter	0	2024-01-08	zh	[35, 18]	False
222787	Metallic Rouge	8	2024-01-11	ja	[16, 10765, 10759]	False
214310	The Weakest Tamer Began a Journey to Pick Up Trash	7	2024-01-12	ja	[16, 10759, 10765]	False
138498	Cristóbal Balenciaga	9	2024-01-19	es	[18]	False
236616	Frozen Surface	9	2024-01-10	zh	[9648, 80]	False
108353	UFOs	0	2024-01-18	fr	[35, 10765]	False
222784	Mr. Villain's Day Off	0	2024-01-08	ja	[16, 35]	False
201009	Indian Police Force	6.8	2024-01-19	hi	[10759, 80]	False
209479	Monsieur Spade	8.7	2024-01-14	en	[18, 9648, 80]	False
208445	The Witch and the Beast	7.5	2024-01-12	ja	[16, 10765, 10759, 18]	False
137893	Griselda	6	2024-01-25	en	[18, 80]	False
241064	Although I Love You, and You?	9.3	2024-01-11	ja	[18]	False
228866	Oderbruch	8.5	2024-01-19	de	[9648, 18, 80]	False
46518	Masters of the Air	0	2024-01-25	en	[10768, 18]	False
221310	Doctor Elise: The Royal Lady with the Lamp	7	2024-01-10	ja	[16, 10765]	False
243236	The Airport Diary	0	2024-01-15	cn	[18]	False
